White,Black,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination,Moves,Event,white_rating,black_rating,rating_diff,rated,opening_ply,ResultEncoded
Karpovian,Emich13,1651,1167,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation",300+0,Normal,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Nc3 Nf6 Bd2 Bc5 Nb3 O-O Nxc5 d6 Nb3 Nc6 Bg5 b5 Be2 Bb7 O-O Ne5 f4 h6 fxe5 dxe5 Qxd8 Rfxd8 Bxf6 gxf6 Rad1 f5 exf5 exf5 Bf3 f6 Bxb7 Rab8 Rxd8+ Rxd8 Rd1 Rxd1+ Nxd1 a5 Nxa5 b4 c3 bxc3 Nxc3 e4 Nd5 Kf7 Nc4 Ke6 a4 Kd7 a5 Kd8 a6 f4 a7 f5 a8=Q+ Kd7 Qc8#,Rated Blitz tournament https://lichess.org/tournament/summer15,1651,1167,484,1,6.0,2
Home1938,liamclimbguy9k,1777,1519,1/2-1/2,A40,Queen's Pawn,60+0,Time forfeit,d4 c6 e3 d5 Nf3 Nf6 Be2 g6 c4 Bg7 cxd5 Nxd5 Nc3 O-O Nxd5 cxd5 a3 Nd7 b4 Re8 O-O e5 dxe5 Nxe5 Rb1 Bg4 Nxe5 Bxe2 Qxe2 Bxe5 Bb2 Bxb2 Qxb2 Re6 Rbd1 Rc8 Rd4 Rd6 Rfd1 Rc7 g3 Rcd7 Qd2 f5 Qd3 Kf7 h4 Kg7 h5 Kh6 hxg6 hxg6 Kg2 g5 Rh1+ Kg6 g4 Kf6 Qxf5+ Kg7 Rh7+ Kg8 Rxd7 Qxd7 Qxg5+ Qg7 Qxg7+ Kxg7 f4 Kg6 Kf3 Kf6 e4 dxe4+ Kxe4 Re6+ Kf3 Re1 Rd6+ Kg7 Rd7+ Kh6 Rxb7 Rf1+ Ke4 Re1+ Kf5 Ra1 Rxa7 Ra2 b5 Re2 b6 Re3 b7 Rb3 a4 Rb4 a5 Rb5+ Ke4 Kg7 Kd4 Rb4+ Kc5 Rb5+ Kxb5 Kf6 a6 Ke6 b8=Q Kd5,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1777,1519,258,1,2.0,1
Germansoriano,Cullarvega,1618,1479,1-0,C00,French Defense: Normal Variation,300+0,Normal,d4 e6 e4 Bb4+ c3 Ba5 f4 a6 Bd3 d6 Nf3 Nd7 O-O Bb6 e5 Ne7 Ng5 h6 Qh5 O-O Bh7+ Kh8 Nxf7+ Rxf7 Qxf7 Kxh7 Qxe6 Nxe5 Qb3 Nd3 Be3 Nf5 Qc2 Nxe3 Qxd3+ Nf5 g4 Qf6 gxf5 Bxf5 Qf3 c6 Nd2 Re8 Nc4 Ba7 Rae1 Rf8 Rf2 b5 Na5 c5 Nc6 Bb6 d5 c4 Nd4 Bxd4 cxd4 Qxd4 Rd1 Qf6 Qc3 Qg6+ Rg2 Qh5 Qxg7#,Rated Blitz tournament https://lichess.org/tournament/qg3Tx2iL,1618,1479,139,1,6.0,2
Lamony1,allansoar,1643,1625,0-1,A45,Indian Game,180+0,Time forfeit,d4 Nf6 e3 e6 c3 Be7 b3 c6 Bb2 d5 Nd2 Bd7 Ngf3 O-O Bd3 Qc7 O-O Re8 Re1 a6 e4 b5 e5 Nh5 Nf1 g6 Bc1 Bf8 Be3 a5 Qd2 f5 exf6 Nxf6 Bh6 Be7 Ng5 Bd6 Nf3 Ng4 Bg5 Rf8 Ng3 e5 dxe5 Nxe5 Nxe5 Bxe5 Rac1 Na6 Qe2 Bd6 Qc2 Bxg3 hxg3 Bf5 Bxf5 Rxf5 Bf4 Qf7 Rf1 Nc5 Rce1 Ne4 f3 Rxf4 gxf4 Ng3 Rf2 Qxf4 Re7 Qh4,Rated Blitz game,1643,1625,18,1,4.0,0
FEDOR50,Sorq,1977,2001,1-0,B06,Modern Defense: Pseudo-Austrian Attack,60+0,Time forfeit,e4 d6 d4 g6 Nc3 Bg7 f4 Nf6 Bd3 c6 Nf3 b5 O-O b4 Ne2 Qa5 e5 dxe5 fxe5 Nd5 Bd2 Nd7 c4 N5b6 c5 Nd5 a3 Ba6 axb4 Bxd3 bxa5 Rb8 b4 Nf8 Nf4 Bxf1 Nxd5 cxd5 Qxf1 Ne6 Qa6 O-O Qxa7 Nxd4 Nxd4 Bxe5 Bc3 Bf4 Nc6 Be3+ Kf1 Rbe8 Nxe7+ Rxe7 Qxe7 d4 Be1 Bh6 Bh4 Bg7 Bf6 d3 Bxg7 Kxg7 Rd1 h5 Qxf8+ Kxf8 a6 Ke7 Rxd3 Ke6 a7 Ke5 a8=Q Kf4 Qd5 Kg4 h3+ Kh4 Qe4+ Kg5 Rd5+ Kh6 Qe3+ g5 Rd6+ Kg7 Qe7,Rated Bullet game,1977,2001,-24,1,10.0,2
budaletina,pipe95,1590,1652,1-0,A45,Indian Game,180+2,Time forfeit,d4 Nf6 e3 d6 Nc3 g6 Nf3 Bg7 Bd3 Nbd7 O-O c5 dxc5 Nxc5 Bb5+ Bd7 Bxd7+ Qxd7 Bd2 O-O Ne2 Nfe4 c3 Rac8 Bc1 Rfd8 Nfd4 e5 Nb3 Nxb3 Qxb3 Nc5 Qc2 Qc6 f3 Rc7 Ng3 Na4 Bd2 d5 Rac1 Qb5 b3 Nc5 a4 Qxb3 Qxb3 Nxb3 Rc2 Nxd2 Rxd2 Rxc3 e4 d4 Ne2 Ra3 f4 Rxa4 fxe5 Bxe5 Nc3 Ra3 Nd5 Kg7 Rb1 b6 h3 Rc8 Ne7 Rcc3 Nd5 Rd3 Rc2 Rdb3 Rbc1 d3 Rd2,Rated Blitz game,1590,1652,-62,1,4.0,2
negropalma10,sorenagrand,1873,1726,1-0,A10,English Opening: Anglo-Scandinavian Defense,60+0,Normal,c4 d5 g3 dxc4 Bg2 Nf6 Nf3 e5 O-O e4 Na3 exf3 Bxf3 Nc6 Nxc4 Bd7 Bg2 Be7 d4 O-O e4 Bg4 f3 Bh5 d5 Bc5+ Kh1 Nd4 Be3 Nxf3 Bxf3 Bxe3 Nxe3 Bxf3+ Qxf3 Re8 Rae1 Rxe4 Nf5 Rxe1 Rxe1 Qxd5 Ne7+ Kf8 Nxd5,Rated Bullet tournament https://lichess.org/tournament/qjk54baK,1873,1726,147,1,10.0,2
podvodnik2012,Carpe_noctem,2086,1958,1-0,A40,Polish Defense,60+0,Time forfeit,d4 b5 a4 a6 axb5 Bb7 bxa6 Nxa6 e3 Nf6 Nf3 e6 Bxa6 Bxa6 Nbd2 c5 c4 cxd4 exd4 d5 b3 dxc4 Nxc4 Bb4+ Bd2 Qe7 O-O O-O Re1 Nd5 Nfe5 Rfc8 Ra4 Bxd2 Qxd2 Bb7 Rea1 Rxa4 Rxa4 Qh4 g3 Qh3 f4 Ne3 Nxe3 Rc1+ Qxc1 h6 Ra7 Be4 Rc7 h5 Qf1 Qxf1+ Kxf1 h4 Kf2 hxg3+ hxg3 Kh7 N3g4 Bg6 Ke3 Bf5 Rxf7 Kg8 Rxf5 Kh7 Rf7 Kg8 Rxg7+ Kxg7 d5 exd5 Kd4 Kg8 b4 Kg7 Kxd5 Kg8 b5 Kg7 b6 Kg8 b7 Kg7 b8=Q,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,2086,1958,128,1,6.0,2
Andique,StarThanatos,1592,2046,0-1,B06,Modern Defense: Geller's System,300+0,Normal,e4 d6 Nf3 g6 d4 Bg7 c3 Nf6 Bd3 Nc6 h3 O-O Be3 e5 d5 Ne7 Bg5 c6 Qd2 cxd5 exd5 Nexd5 Na3 a6 O-O-O b5 h4 h5 c4 Nf4 Be4 Nxe4 Bxd8 Nxd2 Rxd2 Rxd8 cxb5 axb5 Nxb5 Rxa2 Kb1 Ra6 g3 Bf5+ Kc1 Ra1#,Rated Blitz tournament https://lichess.org/tournament/summer15,1592,2046,-454,1,10.0,0
maragines,moryarty,1597,1315,1-0,C50,"Italian Game: Giuoco Pianissimo, Normal",360+4,Normal,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 Ng5 O-O Bxf7+ Rxf7 Nxf7 Kxf7 c3 Kg8 b4 Bb6 Qb3+ Kf8 Nd2 a5 Nf3 axb4 cxb4 d6 Ng5 Nd4 Qf7#,Rated Classical game,1597,1315,282,1,4.0,2
irkorin,andalb2,1594,1655,0-1,C20,King's Pawn Game: Macleod Attack,600+0,Time forfeit,e4 e5 c3 Nc6 d4 exd4 cxd4 d6 Bc4 Nf6 Bg5 g6 Qf3 Bg7 d5 Nd4 Qd3 c5 dxc6 Ne6 Bxe6 Bxe6 cxb7 Rb8 Qa6 Qb6 Qxb6 axb6 Nc3 Rxb7 Nb5 d5 Nd6+ Kd7 Nxb7 dxe4 Bf4 Re8 Nd6 Rd8 Rd1 Ke7 Nb5 Rxd1+ Kxd1 Bxa2 Bd6+ Kd7 Be5 Ke6 Bxf6 Bxf6 Nc3 Bb3+ Kd2 Ke5 Nge2 Bg5+ Ke1 f5 g3 Be7 h4 Be6 Kd2 Bd7 Ke3 Bc5+ Kd2 Bc6 Rf1 h6 Nf4 Kf6 h5 g5 Nh3 b5 Ng1 b4 Nb1 Bb5 Rc1 Bxf2 Rc8 Bxg1 Rh8 Kg7 Rb8 Ba6 Rxb4 e3+ Ke1 Bf2+ Kd1 e2+ Kc2 e1=Q Kb3 Qxb1 Ra4 Qd3+ Ka2 Bc4+ Rxc4 Qxc4+ b3 Qc2+ Ka3 Bc5+ Ka4 f4 gxf4 gxf4 Kb5 f3 b4 f2 Kc6 f1=Q bxc5 Qfc4 Kd7 Q2d3+ Kc6 Qb5+ Kc7 Qxc5+ Kb7 Qb3+,Rated Classical game,1594,1655,-61,1,6.0,0
tonyclifton,RANCORE,1708,1874,0-1,A00,Polish Opening,60+0,Time forfeit,b4 d5 Bb2 f6 a3 e5 e3 c6 Bxe5 Bd6 Bxd6 Qxd6 Nf3 Ne7 Be2 Bg4 O-O Be6 d3 Bf7 Nbd2 Nd7 c4 O-O cxd5 cxd5 Nd4 Ne5 N2b3 Rad8 Nc5 N7g6 Nxb7 Qd7 Nxd8 Qxd8 Nb3 Qd7 Nc5 Qf5 d4 Nc6 Rc1 Qg5 Nd3 Nce7 Bf3 Nf5 Rc7 Nfh4 Nf4 Re8 Rxf7 Kxf7 Bxd5+ Kf8 Qc2 Nxf4 Qc5+ Re7 exf4 Qg4 Re1 Qd7 Rxe7 Qxe7 Qc8+ Qe8 Qxe8+ Kxe8 g3 Nf5 Bc6+ Ke7 Bb7 Nxd4 Ba6 Nc2 Bc4 Nxa3 b5 Nxc4 b6 Nxb6 f5 Kd6 g4 Ke5 g5 Kxf5 gxf6 Kxf6 f3 Kf5 Kf2 Kf4 Ke2 h5,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1708,1874,-166,1,10.0,0
1219,benmakhlouf02,1442,1859,0-1,B12,"Caro-Kann Defense: Advance Variation, Short Variation",300+0,Normal,e4 c6 d4 d5 e5 Bf5 Nf3 e6 Bd3 Bxd3 Qxd3 Qa5+ Bd2 Qb5 Qc3 Qa6 Qb3 c5 c3 cxd4 cxd4 Bxa3 bxa3 Nc6 Rc1 Rc8 Nge7 Kd7 Rxc8 Qxb4 Rc1+ Kd2 Rxh1 Rxh2 Qc5 h6 Nf7 Qf1 Qxf2+ Kc3 b6 Qb5+ Nc6 Qa6 Qxd4+ Kb3 Na5+ Kc2 Rxg2+ Kc1 Kb1 Qb2#,Rated Blitz tournament https://lichess.org/tournament/summer15,1442,1859,-417,1,6.0,0
chesstosterone,KataMijat,1341,2013,0-1,A60,"Benoni Defense: Modern Variation, Snake Variation",300+8,Normal,d4 Nf6 c4 c5 d5 e6 Nc3 exd5 cxd5 Bd6 g3 Be5 Nf3 Bxc3+ bxc3 O-O Bg2 Re8 O-O d6 Nd2 Nbd7 c4 Qa6 Qc2 Nb6 Nd2 Rxe2,Rated Classical game,1341,2013,-672,1,10.0,0
Maleic,WarShoe,2113,2017,1/2-1/2,A00,Mieses Opening,300+0,Normal,d3 e6 Nf3 d5 Nbd2 Nf6 e4 Be7 h3 O-O c3 b6 Qc2 Bb7 Be2 c5 g4 Nc6 Nf1 Nd7 Ng3 Nde5 Nxe5 Nxe5 f4 Nc6 g5 e5 h4 exf4 Bxf4 Bd6 Qd2 dxe4 dxe4 Bxf4 Qxf4 Re8 Nf5 Ne5 h5 Qc7 Rf1 Rad8 Nxg7 Kxg7 Qf6+ Kf8 Rf5 Re6 Qxe6 Nd3+ Bxd3 Rxd3 g6 Qg3+ Ke2 Qe3+ Kf1 Qh3+ Ke1 Qg3+ Ke2 Qe3+ Kf1 Qh3+ Ke1 Qe3+ Kf1,Rated Blitz tournament https://lichess.org/tournament/summer15,2113,2017,96,1,10.0,1
Saaveedraa,TOPO7,1588,1518,1-0,C65,"Ruy Lopez: Berlin Defense, Beverwijk Variation",360+0,Normal,e4 e5 Nf3 Nc6 Bb5 Bc5 O-O Nf6 d3 b5 Bc2 d5 Qe2 Bg4 Bg5 h6 Bh4 Qd6 exd5 Qxf3 Ne7 Bxf6 Qxf6 Qe4 Ng6 Nd2 Bd6 Nf3 Rfe8 a3 Rac8 b4 Rcd8 c4 dxc4 c5 bxc5 d6 Ba4 Ra7 Ng5 Qg6 Qxg6 fxg6 Rd1 Ne2+ Kh2 Nd4 Bb3+ Kf8 Ne6+ Nxe6 Bxe6 Ra7 c6 c7 Rxc7 dxc7 Rxd1 c8=Q+ Ke7 Rb7+ Kf6 Rf7#,Rated Blitz game,1588,1518,70,1,6.0,2
otaltal,MarvicGold,1802,2123,0-1,B13,Caro-Kann Defense: Exchange Variation,60+0,Time forfeit,e4 c6 d4 d5 exd5 cxd5 Nf3 Nc6 Bb5 Bf5 O-O e6 Nf6 Nb3 Be7 O-O Rc8 Bd3 Bg6 a3 Bf6 Bxg6 hxg6 Nc5 b6 Ne4 Nxd4 Nxf6+ Qxf6 Nxd4 Qxd4 Be3 Bd4 e5 Be3 Qe6 Qf3 Nxe3 Qxe3 Rc6 Rad1 Rfc8 g3 f6 Kg2 Kf7 Rd2 R8c7 Rfd1 Re7 Rd3 Qf5 Rce6 Qxe6 Qd5 Qxd5,Rated Bullet game,1802,2123,-321,1,6.0,0
anosplendido,clamky,1663,1546,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense,180+0,Normal,e4 d5 exd5 Qxd5 Nc3 Qd6 Be2 Nc6 Nf3 Bf5 d4 O-O-O Be3 Nf6 Nb5 Qb4+ c3 Qxb2 Rb1 Qxb1,Rated Blitz game,1663,1546,117,1,6.0,0
Rosalvo,AlexBolivar,1158,1217,0-1,D00,Queen's Pawn Game,240+2,Normal,d4 d5 Bd2 Nc6 e3 e5 Be2 exd4 exd4 Nxd4 c3 c6 cxd4 Nf6 Nf3 Bg4 Nc3 Ne4 Ng5 Nxg5 h3 Bxe2 Qxe2+ Be7 Bxg5 O-O Bxe7 Qd7 Bxf8 Re8 Be7 Rxe7 O-O Rxe2 Nxe2 Qf5 Rfe1 Qc2 Nc3 g6 Re8+ Kg7 g4 Qxb2 Rae1 Qxc3 R1e3 Qxd4 R8e7 Qa1+ Kg2 Qxa2 Rxb7 Qa6 Rc7 Qb6 Rd7 a5 Rf3 a4 Rdxf7+ Kh6 Rf8 a3 R8f4 a2 Ra4 Qb3 Rxa2 Qxa2 Rf6 d4 Rxc6 d3 Rd6 d2 Rxd2 Qxd2 Kg3 g5 Kg2 Kg6 Kh2 Qf4+ Kg2 h5 Kf1 hxg4 hxg4 Qxg4 Ke1 Qh3 Ke2 g4 Ke1 Kg5 Ke2 Kf4 Ke1 Qc3+ Kf1 Qd3+ Kg2 Qf3+ Kf1 g3 Ke1 Qxf2+ Kd1 g2 Kc1 g1=R#,Rated Blitz game,1158,1217,-59,1,4.0,0
FASMONDO,carpachot,1351,1372,1-0,C30,King's Gambit,300+3,Normal,e4 e5 f4 Qe7 Nf3 exf4 Nc3 d5 e5 Nc6 d4 f6 Nxd5 Qd8 Nxf4 fxe5 Nxe5 Nxe5 dxe5 Qxd1+ Kxd1 Bg4+ Be2 Bxe2+ Kxe2 O-O-O Be3 a6 Rhd1 Re8 Bd4 g5 Nh3 h6 Kd3 Bg7 Re1 c5 Bc3 Rd8+ Kc4 b6 a3 Ne7 Rad1 Nc6 Rd6 Nxe5+ Bxe5 Bxe5 Rxd8+ Rxd8 Rxe5 Rd4+ Kc3 a5 Re6 Kc7 Rxh6 b5 Nxg5 b4+ axb4 axb4+ Kb3 c4+ Kxb4 c3+ Kxc3 Rd5 Ne6+ Kc6 Nd4+ Kc5 Rc6#,Rated Blitz game,1351,1372,-21,1,6.0,2
Paleto-plus,Cornedauroch,1723,1581,1-0,C21,Center Game: Kieseritzky Variation #2,180+3,Normal,e4 e5 d4 exd4 Nf3 Be7 Bc4 d6 Nxd4 Nf6 Nc3 Bg4 f3 Bh5 O-O c6 Be3 b5 Bb3 b4 Nce2 c5 Nf5 O-O Nf4 Bg6 Nxg6 hxg6 Nxe7+ Qxe7 Bg5 Qe5 Bxf6 gxf6 Bd5,Rated Blitz game,1723,1581,142,1,6.0,2
ant1999chess,SWJ,1880,1933,0-1,B00,Borg Defense: Borg Gambit,120+0,Normal,e4 d4 Bg7 Nc3 c5 dxc5 Bxc3+ bxc3 Qa5 Qd4 Nf6 Nc6 Qd3 Nxe4 Bd2 Nxd2 Qxd2 Qxc5 Nf3 d6 Bd3 Bg4 Nxf3+ gxf3 Bh3 Kh1 Bg2+ Kg1 Bxf3+,Rated Bullet game,1880,1933,-53,1,6.0,0
lokos1472,potsy722,1632,1769,0-1,B01,Scandinavian Defense,60+0,Normal,e4 d5 c5 d4 Nc6 dxc5 e6 Nc3 d4 Ne4 Nxe5 Nf3 Nxf3+ Nf6 Bb5+ Bd7 bxc6 Bc4 Nxe4 Nf6 Bg5 c5 Qc3 Be7 O-O-O Qb6 Kb1 Bc6 Rb8 Bxf6 Bb3 Bc6 Qxb2#,Rated Bullet game,1632,1769,-137,1,6.0,0
Aventuraextra,McSquared,1809,2212,0-1,A57,Benko Gambit,60+0,Normal,d4 c5 d5 Nf6 c4 b5 e3 b4 a3 d6 axb4 cxb4 b3 g6 Bb2 Bg7 Bd3 O-O Nf3 Nbd7 O-O Nc5 Bc2 a5 Nbd2 Bd7 Qe2 Qb6 Rfe1 Ra7 h3 Rfa8 e4 a4 bxa4 b3 Bd1 Nxa4 Ba3 b2 Rb1 Nc3 Rxb2 Nxe2+ Rxe2 Qc7 Bb4 Ra1 Kh1 Nxe4,Rated Bullet game,1809,2212,-403,1,6.0,0
chessstrategy,Nimrod64,2191,2265,1-0,A00,Van't Kruijs Opening,60+0,Time forfeit,e3 Nc6 d4 d5 c4 Nf6 Nc3 e6 c5 Be7 Bb5 O-O Bxc6 bxc6 Nf3 Ba6 Ne2 Nd7 O-O e5 Re1 e4 Nd2 f5 Nc3 f4 exf4 Rxf4 Ndxe4 Rxe4 Nxe4 dxe4 Rxe4 Nf6 Re6 Bc4 Rxc6 Bd5 Ra6 Qc8 Ra3 Qf5 Rg3 Ne4 Rf3 Qg6 Bf4 Bf6 Bxc7 Rf8 Be5 Ng5 Rg3 Qf5 Qe2 Ne4 Rf3 Qe6 Bxf6 gxf6 Re1 f5 Re3 Qf6 f3 Qxd4 fxe4 Bxe4 Kh1 Qxc5 Rd1 Qc6 Rg3+ Kh8 Qh5 Qc2 Rf1 Rg8 Rxg8+ Kxg8 Qg5+ Kf8 Rxf5+ Bxf5 h3 Qb1+ Kh2 Qe4 Qf6+ Ke8 Qh8+ Kd7 Qg7+ Kc6 Qxa7 Kd5 Qf2 Qe5+ Qg3 Be4 Qxe5+ Kxe5 b3 Bb1 a3 Bc2 b4 Ba4 Kg3 Kf5 Kh4 Bc6 Kh5 Kf6 g4 Bg2 h4 Bf3 Kh6 Bxg4 Kxh7,Rated Bullet game,2191,2265,-74,1,10.0,2
polmorenoc,layura,1473,1746,0-1,D30,Queen's Gambit Declined,60+0,Normal,d4 d5 c4 e6 cxd5 exd5 Nc3 c6 Nf3 Nf6 Bg5 Bd6 e3 O-O Bd3 h6 Bh4 g5 Bxg5 hxg5 Nxg5 Bg4 Qd2 Bh5 h4 Nbd7 Qc2 Qe7 f3 Qxe3+ Ne2 Rae8 g4 Bg3+ Kf1 Qf2#,Rated Bullet tournament https://lichess.org/tournament/cCgRWiW2,1473,1746,-273,1,6.0,0
dioni8viojim,alejo11,1456,1229,1-0,B07,Rat Defense: Harmonist,180+0,Time forfeit,e4 d6 f4 Nf6 Nc3 Nc6 Nf3 e5 fxe5 dxe5 d3 Nd4 Be2 Bc5 Nxe5 O-O Be3 Bg4 O-O Bxe2 Nxe2 Nxe2+ Qxe2 Bxe3+ Qxe3 Re8 Ng4 Nxg4 Qf3 Ne5 Qf2 f6 d4 Ng4 Qf3 Nh6 Rae1 Qxd4+ Kh1 Qxb2 Rb1 Qe5 Rxb7 Rab8 Qb3+ Kh8 Rxb8 Rg8 Rxg8+ Nxg8 Qd3 c5 c4 Qe6 h3 Ne7 Qd8+ Ng8 Qd5 Qe8 Re1 Qa4 Qxc5 Qxa2 e5 fxe5 Qxe5 Qxc4 Qg3 a5 Re7 Nxe7 Qb8+ Ng8 Qg3,Rated Blitz game,1456,1229,227,1,6.0,2
DuckLuckSuck,AberRob,936,1359,0-1,C45,Scotch Game: Schmidt Variation,300+0,Normal,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 Be2 Bb4+ Nc3 Nxe4 Bd2 Nxd2 Qxd2 O-O O-O Re8 Bc4 d5 Bb3 d4 Ne2 Bxd2,Rated Blitz tournament https://lichess.org/tournament/summer15,936,1359,-423,1,6.0,0
yudjine,sloperz,1217,1736,0-1,A43,Old Benoni Defense,60+0,Time forfeit,d4 c5 cxd4 Qxd4 Nc6 Qc3 e6 Nd2 Nf6 Bb4 Qc2 d6 Bb2 O-O a5 e3 a4 bxa4 Bc5 Nb4 Qxd3 Bd7 Nb3 Qc7 Ne2 Bxa4 Bxf6 Bxd1 Rxd1 gxf6 Qg3+ Kh8 Kd1 Qxg3 hxg3 Rxd8+ Rxd8+ Nc3 Ra3 Kd2 Kg7 f3 Kf8 g4 Ke7 Kc2 Ra6 Ra4,Rated Bullet game,1217,1736,-519,1,6.0,0
paerstymer,Elijah_3,1552,1275,1/2-1/2,A41,Queen's Pawn,60+0,Time forfeit,d4 d6 e3 Bf5 Nf3 Nc6 a3 e5 c3 exd4 cxd4 Be7 O-O d5 Nc3 Bxf3 Bxf3 Bxd5 Qf3 Bxf4 Qxd5 Qf5 Qxf5+ Kxf5 exf4 Nf6 hxg4+ Kxg4 Rhg8 Kf3+ Kf1 Re3+ Kxf4 Rg3+ Kf5 Rxg7 Rg8 Rxf7+ Ke6 Rxh7 Rg1+ Kxg1 Kd5 Rxc7 Kxd4 Rxa7 b4 axb4 Kc4 b3+ Kb5 Kxb4 Kxb3 Kb4 Ra4+ Kb5 Ra5+ Kb4,Rated Bullet game,1552,1275,277,1,2.0,1
PeterCamargo,Rabia99,1642,1393,0-1,D44,Queen's Gambit Declined: Vienna Variation,120+1,Normal,d4 d5 c4 dxc4 Nc3 Nf6 Nf3 e4 Bb4 Nxe4 Qa4+ Nc6 Nxd2 Nxd2 bxc3 Bd7 O-O Qb3 a6 Bxc6 Bxc6 Ne5 Bd5 f4 Qe7 Qf2 c6 Qxh4,Rated Bullet game,1642,1393,249,1,6.0,0
Grutuk,Goitia11,2048,1988,1-0,E01,Catalan Opening: Closed Variation,480+8,Normal,d4 Nf6 c4 e6 g3 d5 Bg2 Nbd7 c5 c6 Nf3 Be7 Nc3 O-O b4 Qc7 Bf4 Qd8 O-O Nh5 Be3 f5 b5 h6 a4 Nhf6 a5 Ne4 Nxe4 fxe4 Nd2 cxb5 Qb3 a6 f3 exf3 Nxf3 Bf6 Bh3 Qe7 Bf4 Bxd4+ Nxd4 Nxc5 Qe3 Ne4 Be5 Rxf1+ Rxf1 Bd7 Qf4 g5 Qg4 Qc5 Qh5 Rf8 Qg6#,Rated Classical game,2048,1988,60,1,10.0,2
PiotrAnton,jstraat,1976,1938,1-0,E20,Nimzo-Indian Defense,60+0,Normal,d4 Nf6 c4 e6 Nc3 Bb4 Bd2 Bxc3 Bxc3 Ne4 Qd3 f5 f3 Qh4+ g3 Nxg3 hxg3 Qxh1 Kf2 Qh2+ Bg2 Nc6 d5 exd5 cxd5 Ne7 Bxg7 Rg8 Be5 d6 Bf4 Ng6 Qe3+ Kd8 Nh3 Nxf4 Qxf4 Bd7 Rh1 Qxh1 Bxh1 Ke7 Ng5 Raf8 Nxh7 Rh8 Qh6,Rated Bullet game,1976,1938,38,1,6.0,2
redfishfinder,WilliamShakespeare,1519,1485,0-1,D05,Colle System #2,300+0,Normal,d4 d5 e3 e6 Nf3 Nf6 Bd3 c6 O-O Be7 c3 O-O Nbd2 Nbd7 e4 dxe4 Nxe4 b6 Bb7 b3 Nxf6+ Bxf6 Qe4 Bxh6 Be3 Rh8 Rad1 Bxh4 Nxh4 Qxh4 g3 Qh3 Be4 Kg7,Rated Blitz tournament https://lichess.org/tournament/summer15,1519,1485,34,1,4.0,0
Bollybill,RyuNi,1671,1629,0-1,B15,Caro-Kann Defense,60+0,Normal,e4 c6 d4 d5 Nc3 e6 exd5 cxd5 Nf3 Bd7 Bd3 Nf6 O-O Be7 Qe2 O-O Be3 a6 h3 b5 a3 b4 axb4 Bxb4 Ne5 Nc6 Nxd7 Qxd7 Bg5 Ne8 Qh5 g6 Qh6 Nxd4 f4 Nf5,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1671,1629,42,1,6.0,0
barolo,Allumeuse,1448,1445,1-0,C22,Center Game: Normal Variation,300+0,Time forfeit,e4 e5 d4 exd4 Qxd4 Nc6 Qa4 Bc5 Nf3 Nbd2 Nb3 Bb6 c3 h6 Bb5 g4 Nfd4 Nxd4 Nxd4 c6 Bd3 Ne7 Be3 Ng6 Ne5 Bc2 h5 Rad1 h4 h3 e5 Nf5 g3 cxd6 Nxd6+,Rated Blitz game,1448,1445,3,1,6.0,2
hdbxidnx,Dxf7,1869,1596,0-1,A00,Hungarian Opening: Indian Defense,60+0,Time forfeit,g3 Nf6 Bg2 g6 d3 Bg7 c3 d5 Nd2 c5 Qc2 Nc6 Ngf3 d4 O-O dxc3 bxc3 e6 e4 O-O Re1 Nd7 a4 Nde5 Ba3 Nxf3+ Nxf3 b6 Rad1 Bb7 h4 Ne5 Nh2 Nxd3 Rxd3 Bxe4 Rxd8 Bxc2 Rxa8 Rxa8 Bxa8 Bxc3 Rf1 Bxa4 Rc1 Bd4 Nf3 Bg7 Be4 Bb5 Rb1 a6 Bb2 c4 Bxg7 Kxg7 Nd4 Ba4 Bb7 b5 Bc6 Bb3 Nxb3 cxb3 Rxb3 Kf6 Bxb5 Ke5 Bxa6 Kd4 Rb7 Kc3 Rxf7 Kd2 Rxh7 Kc3 Rh6 Kd4,Rated Bullet game,1869,1596,273,1,10.0,0
